n_classes,C,max_iter,seed,n_train,acc,xent,err
10,0.01,10000,8,5,0.3944,inf,0.6056
2,0.01,10000,9,5,0.68,6.3405018394259915,0.31999999999999995
5,0.01,10000,9,5,0.2,inf,0.8
10,0.01,10000,9,5,0.1001,inf,0.8999
2,1.0,10000,0,5,0.8795,1.3496163210103553,0.12050000000000005
5,1.0,10000,0,5,0.4506,inf,0.5494
10,1.0,10000,0,5,0.2413,inf,0.7587
2,1.0,10000,1,5,0.5,inf,0.5
5,1.0,10000,1,5,0.5258,inf,0.47419999999999995
10,1.0,10000,1,5,0.4127,inf,0.5872999999999999
2,1.0,10000,2,5,0.5855,15.340700459874611,0.4145
5,1.0,10000,2,5,0.57,inf,0.43000000000000005
10,1.0,10000,2,5,0.3047,inf,0.6953
2,1.0,10000,3,5,0.9515,0.6350712454553955,0.04849999999999999
5,1.0,10000,3,5,0.6954,inf,0.3046
10,1.0,10000,3,5,0.3224,inf,0.6776
2,1.0,10000,4,5,0.5745,11.378017468960097,0.4255
5,1.0,10000,4,5,0.4288,inf,0.5711999999999999
10,1.0,10000,4,5,0.2315,inf,0.7685
2,1.0,10000,5,5,0.982,0.18580347356024032,0.018000000000000016
5,1.0,10000,5,5,0.5668,inf,0.43320000000000003
10,1.0,10000,5,5,0.323,inf,0.677
2,1.0,10000,6,5,0.596,10.28130398754308,0.404
5,1.0,10000,6,5,0.4456,inf,0.5544
10,1.0,10000,6,5,0.1934,inf,0.8066
2,1.0,10000,7,5,0.9855,0.19077213009722746,0.014499999999999957
5,1.0,10000,7,5,0.8074,1.4145380578178457,0.1926
10,1.0,10000,7,5,0.4463,inf,0.5537000000000001
2,1.0,10000,8,5,0.862,1.7022067569346135,0.138
5,1.0,10000,8,5,0.4826,inf,0.5174000000000001
10,1.0,10000,8,5,0.3686,inf,0.6314
2,1.0,10000,9,5,0.9835,0.11622682486875664,0.01649999999999996
5,1.0,10000,9,5,0.3646,inf,0.6354
10,1.0,10000,9,5,0.2526,inf,0.7474000000000001
2,100.0,10000,0,5,0.8835,0.9415051977187756,0.11650000000000005
5,100.0,10000,0,5,0.4896,inf,0.5104
10,100.0,10000,0,5,0.3736,inf,0.6264000000000001
2,100.0,10000,1,5,0.642,5.257429669234118,0.358
5,100.0,10000,1,5,0.548,inf,0.45199999999999996
10,100.0,10000,1,5,0.437,inf,0.563
2,100.0,10000,2,5,0.8705,1.787797960957586,0.12949999999999995
5,100.0,10000,2,5,0.2842,inf,0.7158
10,100.0,10000,2,5,0.341,inf,0.659
2,100.0,10000,3,5,0.9895,0.0661094193324395,0.010499999999999954
5,100.0,10000,3,5,0.7636,inf,0.23640000000000005
10,100.0,10000,3,5,0.2137,inf,0.7863
2,100.0,10000,4,5,0.8835,0.9953211895483426,0.11650000000000005
5,100.0,10000,4,5,0.4826,inf,0.5174000000000001
10,100.0,10000,4,5,0.3269,inf,0.6731
2,100.0,10000,5,5,0.9765,0.19535013008374652,0.023499999999999965
5,100.0,10000,5,5,0.3368,inf,0.6632
